49분	NNG
50분	NNG
51분	NNG
52분	NNG
53분	NNG
54분	NNG
55분	NNG
56분	NNG
57분	NNG
58분	NNG
59분	NNG
